utc_time,network,seconds_on_screen,program,text
2021-09-14 00:26:00,FOXNEWSW,40,FOXNEWSW_20210914_000000_Tucker_Carlson_Tonight/start/1560,OBAMA BIDEN KAMALA HARRIS CAMPAIGN FOR NEWSOM
2021-09-14 00:40:00,FOXNEWSW,24,FOXNEWSW_20210914_000000_Tucker_Carlson_Tonight/start/2400,GLENN GREENWALD JOURNALIST
2021-09-14 05:23:00,FOXNEWSW,17,FOXNEWSW_20210914_050000_Tucker_Carlson_Tonight/start/1380,LARRY ELDER COULD BE CALIFORNIAS NEXT GOVERNOR
2021-09-14 05:25:00,FOXNEWSW,39,FOXNEWSW_20210914_050000_Tucker_Carlson_Tonight/start/1500,LARRY ELDER R RUNNING FOR CALIFORNIA GOVERNOR
2021-09-14 05:26:00,FOXNEWSW,27,FOXNEWSW_20210914_050000_Tucker_Carlson_Tonight/start/1560,LARRY ELDER R RUNNING FOR CALIFORNIA GOVERNOR
2021-09-14 05:26:00,FOXNEWSW,27,FOXNEWSW_20210914_050000_Tucker_Carlson_Tonight/start/1560,OBAMA BIDEN KAMALA HARRIS CAMPAIGN FOR NEWSOM
2021-09-14 05:35:00,FOXNEWSW,3,FOXNEWSW_20210914_050000_Tucker_Carlson_Tonight/start/2100,AFGHAN EVACLIFES COMF GO AS THEY PIFASF
2021-09-16 00:03:00,FOXNEWSW,37,FOXNEWSW_20210916_000000_Tucker_Carlson_Tonight/start/180,NICKI MINAJ VOWS NOT TO BE SILENCED BY THE MOB
2021-09-16 00:06:00,FOXNEWSW,10,FOXNEWSW_20210916_000000_Tucker_Carlson_Tonight/start/360,NICKI MINAJ: YOU SHOULD BE ABLE TO ASK QUESTIONS
2021-09-16 00:09:00,FOXNEWSW,55,FOXNEWSW_20210916_000000_Tucker_Carlson_Tonight/start/540,BIDENS DIVISIVE SPEECH WAS A TURNING POINT
2021-09-16 00:15:00,FOXNEWSW,10,FOXNEWSW_20210916_000000_Tucker_Carlson_Tonight/start/900,COLIEGES MAKING LIFE MISERABIE FOR THE VACCINATED
2021-09-16 00:16:00,FOXNEWSW,29,FOXNEWSW_20210916_000000_Tucker_Carlson_Tonight/start/960,JIM BREUER COMEDIAN JIM BREUER CANCELS STANDUP SHOWS AT
2021-09-16 00:16:00,FOXNEWSW,29,FOXNEWSW_20210916_000000_Tucker_Carlson_Tonight/start/960,S ARSI JIM BREUER CANCELS STANDUP SHOWS AT
2021-09-16 00:18:00,FOXNEWSW,21,FOXNEWSW_20210916_000000_Tucker_Carlson_Tonight/start/1080,JIM BREUER FORMER SNL CAST MEMBER JIM BREUER CANCELS STANDUP SHOWS AT. I JIM BREUER FORMER SNL CAST MEMBER JIM BREUER CANCELS STANDUP SHOWS AT
2021-09-16 00:37:00,FOXNEWSW,16,FOXNEWSW_20210916_000000_Tucker_Carlson_Tonight/start/2220,MOST MIGRANTS NOT SUBJECT TO VACCINE MANDATES
2021-09-16 00:52:00,FOXNEWSW,31,FOXNEWSW_20210916_000000_Tucker_Carlson_Tonight/start/3120,SHARRI MARKSON INVESTIGATVE REPORTER
2021-09-16 00:54:00,FOXNEWSW,14,FOXNEWSW_20210916_000000_Tucker_Carlson_Tonight/start/3240,I A CLOSER LOOK AT THE CORONAVIRUS ORIGINS
2021-09-16 05:09:00,FOXNEWSW,54,FOXNEWSW_20210916_050000_Tucker_Carlson_Tonight/start/540,BIDENS DIVISIVE SPEECH WAS A TURNING POINT
2021-09-16 05:16:00,FOXNEWSW,29,FOXNEWSW_20210916_050000_Tucker_Carlson_Tonight/start/960,JIM BREUER COMEDIAN JIM BREUER CANCELS STANDUP SHOWS AT
2021-09-16 05:16:00,FOXNEWSW,29,FOXNEWSW_20210916_050000_Tucker_Carlson_Tonight/start/960,S AR JIM BREUER CANCELS STANDUP SHOWS AT
2021-09-16 05:18:00,FOXNEWSW,12,FOXNEWSW_20210916_050000_Tucker_Carlson_Tonight/start/1080,JIM BREUER FORMER SNL CAST MEMBER JIM BREUER CANCELS STANDUP SHOWS AT
2021-09-16 05:30:00,FOXNEWSW,22,FOXNEWSW_20210916_050000_Tucker_Carlson_Tonight/start/1800,NEW WOODWARD BOOK: MILLEY HAD SECRET CONVERSATIONS WITH THE CHINESE
2021-09-16 05:31:00,FOXNEWSW,19,FOXNEWSW_20210916_050000_Tucker_Carlson_Tonight/start/1860,L TEDDY DANIELS COMBAT VETERAN NEW WOODWARD BOOK MILLEY HAD
2021-09-16 05:36:00,FOXNEWSW,8,FOXNEWSW_20210916_050000_Tucker_Carlson_Tonight/start/2160,MOST MIGRANTS NOT SUBJECT TO VACCINE MANDATES
2021-09-16 05:37:00,FOXNEWSW,17,FOXNEWSW_20210916_050000_Tucker_Carlson_Tonight/start/2220,MOST MIGRANTS NOT SUBJECT TO VACCINE MANDATES
2021-09-16 05:52:00,FOXNEWSW,31,FOXNEWSW_20210916_050000_Tucker_Carlson_Tonight/start/3120,SHARRI MARKSON INVESTIGATIVE REPORTER
2021-09-17 00:08:00,FOXNEWSW,17,FOXNEWSW_20210917_000000_Tucker_Carlson_Tonight/start/480,BIDEN ADMIN IS LYING ABOUT ECONOMIC GAINS
2021-09-17 00:29:00,FOXNEWSW,19,FOXNEWSW_20210917_000000_Tucker_Carlson_Tonight/start/1740,CORONA COMPLIANCE OFFICERS DESCEND ON NYC. CORONA COMPLIANCE OFFICERS ARE SCARING BUSINESSES INTO CHECKING VACCINE STATUS
2021-09-17 00:45:00,FOXNEWSW,43,FOXNEWSW_20210917_000000_Tucker_Carlson_Tonight/start/2700,L CANDIDATE FOR SEATTLE CITY ATTORNEY PROMISES TO ABOLISH POLICE PRISONS IF ELECTED. CONTROVERSIAL CANDIDATE WINS SEATTLE PRIMARY
2021-09-17 00:46:00,FOXNEWSW,35,FOXNEWSW_20210917_000000_Tucker_Carlson_Tonight/start/2760,POLICE PRISON ABOLITIONIST WON THE PRIMARY FOR SEATTLE CITY ATTORNEY
2021-09-17 00:47:00,FOXNEWSW,6,FOXNEWSW_20210917_000000_Tucker_Carlson_Tonight/start/2820,THIS MAN IS A DANGER TO THE COUNTRY
2021-09-17 00:49:00,FOXNEWSW,22,FOXNEWSW_20210917_000000_Tucker_Carlson_Tonight/start/2940,JESSE KELLY MARINE CORPS COMBAT VETERAN
2021-09-17 00:50:00,FOXNEWSW,7,FOXNEWSW_20210917_000000_Tucker_Carlson_Tonight/start/3000,MILLEY SHOULD RESIGN IN DISGRACE
2021-09-17 05:01:00,FOXNEWSW,25,FOXNEWSW_20210917_050000_Tucker_Carlson_Tonight/start/60,TEXAS HORROR SHOW BORDER PATROL OVERWHELMED
2021-09-17 05:06:00,FOXNEWSW,3,FOXNEWSW_20210917_050000_Tucker_Carlson_Tonight/start/360,OPEN BORDERS HAVE CAUSED A DEADLY CISIS
2021-09-17 05:07:00,FOXNEWSW,25,FOXNEWSW_20210917_050000_Tucker_Carlson_Tonight/start/420,DEMS CLAIM THEY HAVE A SOLUTION
2021-09-17 05:16:00,FOXNEWSW,11,FOXNEWSW_20210917_050000_Tucker_Carlson_Tonight/start/960,BIDEN HAS BROKEN OUR SOUTHERN BORDER HIS SOLUTION IS TO GRANT MASS AMNESTY
2021-09-17 05:19:00,FOXNEWSW,21,FOXNEWSW_20210917_050000_Tucker_Carlson_Tonight/start/1140,"BIDEN HAS BROKEN OUR SOUTHERN BORDER, HIS SOLUTION IS TO GRANT MASS AMNESTY."
2021-09-17 05:25:00,FOXNEWSW,6,FOXNEWSW_20210917_050000_Tucker_Carlson_Tonight/start/1500,SOUNDING THE ALARM ON CENSORSHIP
2021-09-17 05:29:00,FOXNEWSW,19,FOXNEWSW_20210917_050000_Tucker_Carlson_Tonight/start/1740,CORONA COMPLIANCE OFFICERS DESCEND ON NYC
2021-09-17 05:45:00,FOXNEWSW,43,FOXNEWSW_20210917_050000_Tucker_Carlson_Tonight/start/2700,L CANDIDATE FOR SEATTLE CITY ATTORNEY PROMISES TO ABOLISH POLICE PRISONS IF ELECTED
2021-09-17 05:46:00,FOXNEWSW,35,FOXNEWSW_20210917_050000_Tucker_Carlson_Tonight/start/2760,POLICE PRISON ABOLITIONIST WON THE PRIMARY FOR SEATTLE CITY ATTORNEY
2021-09-17 05:48:00,FOXNEWSW,21,FOXNEWSW_20210917_050000_Tucker_Carlson_Tonight/start/2880,JESSE KELLY MARINE CORPS COMBAT VETERAN
2021-09-17 05:49:00,FOXNEWSW,24,FOXNEWSW_20210917_050000_Tucker_Carlson_Tonight/start/2940,JESSE KELLY MARINE CORPS COMBAT VETERAN
2021-09-18 00:02:00,FOXNEWSW,9,FOXNEWSW_20210918_000000_Tucker_Carlson_Tonight/start/120,MILLEY THOUGHT THE DRONE STRIKE WAS RIGHTEOUS
2021-09-18 00:10:00,FOXNEWSW,16,FOXNEWSW_20210918_000000_Tucker_Carlson_Tonight/start/600,JOE KENT R WA CONGRESSIONAL CANDIDATE
2021-09-18 00:13:00,FOXNEWSW,23,FOXNEWSW_20210918_000000_Tucker_Carlson_Tonight/start/780,DOUGLAS MURRAY THE MADNESS OF CROWDS AUTHOR BIDENS BOTCHED STRIKE KILLED AN AID
