"word","BBC","CNN","FOX","MSNBC"
"frank","0","11","26","11"
"hogue","0","3","0","0"
"gregory","0","22","4","0"
"savidae","0","2","0","0"
"brazilian","10","14","5","1"
"country","67","109","104","96"
"star","28","142","54","48"
"dies","102","77","21","99"
"plane","30","41","31","21"
"crash","23","44","27","16"
"follow","1","29","14","31"
"abba","1","4","1","1"
"album","44","10","16","3"
"ownerly","0","1","0","0"
"data","72","239","37","112"
"partners","15","2","1","7"
"calculate","1","1","0","0"
"estimates","9","6","3","4"
"automated","0","1","0","1"
"valuation","0","1","0","0"
"models","0","41","0","34"
"able","19","23","6","18"
"lieu","0","1","5","3"
"appraisal","0","1","0","0"
"leading","11","45","5","65"
"aerosol","0","5","0","0"
"trigger","2","21","5","0"
"disinfectant","0","5","0","0"
"pre","0","2","0","1"
"registered","7","28","19","17"
"kill","2","42","5","12"
"organisms","0","5","0","0"
"initially","7","28","0","2"
"microban","0","5","0","0"
"X24","7","16","18","64"
"hours","18","240","17","144"
"staphyococcus","0","5","0","0"
"aureus","0","5","0","0"
"enterobacter","0","5","0","0"
"aerogenes","0","5","0","0"
"bacteria","0","7","0","0"
"xavi","0","3","0","0"
"returning","7","31","7","8"
"barcelona","0","4","3","1"
"teams","3","51","9","10"
"coach","17","121","24","52"
"publishing","1","24","0","0"
"voyage","1","6","2","0"
"X4o","25","73","15","86"
"years","465","230","270","307"
"sam","1","25","12","10"
"pena","0","4","3","0"
"fire","33","155","110","83"
"chief","207","809","167","237"
"moderate","0","138","43","88"
"pledge","11","27","6","36"
"approve","10","54","15","62"
"spending","23","637","622","514"
"nov","6","24","14","44"
"X15","32","68","35","58"
"organizers","0","33","2","49"
"created","11","17","9","6"
"response","196","151","60","99"
"scores","1","16","29","8"
"crises","0","81","178","5"
"russian","19","50","32","69"
"council","8","46","49","67"
"ceasefire","0","2","0","0"
"rebels","4","6","0","0"
"amnesty","3","2","9","0"
"intl","0","20","2","14"
"brink","0","33","10","2"
"humanitarian","36","21","7","20"
"catastrophe","16","20","5","4"
"broken","7","9","17","16"
"asylum","0","6","5","49"
"forces","63","81","43","30"
"refugees","20","49","62","47"
"deadly","8","204","92","58"
"journey","3","30","13","21"
"promises","55","22","19","27"
"investigation","23","285","88","257"
"migrant","74","63","322","33"
"pushback","0","30","17","3"
"allegations","47","53","19","40"
"accused","95","126","115","75"
"pushing","1","120","46","70"
"migrants","111","298","552","203"
"afghan","69","317","376","168"
"pilot","2","29","15","5"
"sea","27","18","7","4"
"route","3","10","3","12"
"expensive","0","20","6","5"
"risky","0","4","5","3"
"turkish","0","5","0","3"
"dumping","0","1","0","0"
"ground","28","46","30","27"
"meaningful","2","4","1","1"
"feliway","0","7","0","4"
"product","0","25","8","125"
"directed","0","29","9","121"
"talk","12","66","31","66"
"kim","10","40","12","12"
"brunhuber","0","14","0","0"
"X.kimbrunhuber","0","12","0","0"
"kaitlan","0","66","0","0"
"collins","0","81","10","18"
"unagerleider","0","3","0","0"
"rates","30","60","16","38"
"due","73","136","53","79"
"low","33","93","33","27"
"vaccinations","73","134","8","70"
"remain","57","99","81","104"
"tough","2","50","10","6"
"sell","5","16","34","49"
"many","40","103","33","98"
"americans","18","645","534","301"
"trends","1","2","6","0"
"dr","34","1165","212","377"
"shoshana","0","2","0","0"
"unaerleider","0","2","0","0"
"california","16","521","203","695"
"pacific","3","9","3","42"
"center","11","129","66","176"
"covid.19","39","619","111","275"
"coming","19","62","108","134"
"efficacy","1","22","7","9"
"anti.covid","0","11","0","2"
"endwellprojectorg","0","1","0","0"
"pledges","17","76","13","31"
"made","58","133","41","103"
"conference","64","54","24","61"
"arent","0","10","9","4"
"enough","6","53","16","5"
"X8","4863","197","140","128"
"dozens","21","71","34","42"
"astroworld","0","52","18","10"
