"word","BBC","CNN","FOX","MSNBC"
"X1818","2","0","0","0"
"weies","1","0","0","0"
"mikhailova","5","0","0","0"
"r8","3","0","0","0"
"X21bteeh","2","0","0","0"
"te8","1","0","0","0"
"bully","2","0","0","0"
"hegemony","1","0","0","0"
"rarry","1","0","0","0"
"bunn","1","0","0","0"
"valispury","1","0","0","0"
"rardadise","1","0","0","0"
"X1ost","1","0","0","0"
"aiplomacy","3","0","0","0"
"eecter","2","0","0","0"
"oudan","1","0","0","0"
"ciihh","1","0","0","0"
"dltie","1","0","0","0"
"vilte","1","0","0","0"
"X821m","4","0","0","0"
"ruture","17","0","0","0"
"obesity","1","0","0","0"
"X2bn","1","0","0","0"
"ced","1","0","0","0"
"consume","2","0","0","0"
"v1","3","0","0","0"
"jt","1","0","0","0"
"X.yol","1","0","0","0"
"malnourished","1","0","0","0"
"dty","5","0","0","0"
"X.hli","1","0","0","0"
"iiig.g","1","0","0","0"
"ariel","12","0","0","0"
"sacking","6","0","0","0"
"offence","13","0","0","0"
"rrom","14","0","0","0"
"zheng","5","0","0","0"
"zeguang","5","0","0","0"
"diodaway","1","0","0","0"
"dack","1","0","0","0"
"pbroaaway","4","0","0","0"
"district.s","2","0","0","0"
"theatres","6","0","0","0"
"dbroaaway","12","0","0","0"
"droadway","12","0","0","0"
"d.y","2","0","0","0"
"ehir","2","0","0","0"
"u.y","3","0","0","0"
"chir","7","0","0","0"
"iiig4","5","0","0","0"
"X.hti","1","0","0","0"
"iiigg","1","0","0","0"
"calirornia","10","0","0","0"
"democratically","4","0","0","0"
"muraerinvestigation","2","0","0","0"
"otorm","41","0","0","0"
"colonial","3","0","0","0"
"reorted","1","0","0","0"
"remoaet","4","0","0","0"
"faris","24","0","0","0"
"itwould","1","0","0","0"
"remarkaole","1","0","0","0"
"wonaer","1","0","0","0"
"modernarchitecture","6","0","0","0"
"pottution","6","0","0","0"
"rebouna","5","0","0","0"
"re.opening","6","0","0","0"
"xisting","1","0","0","0"
"X62u","1","0","0","0"
"mites","1","0","0","0"
"ptaces","2","0","0","0"
"ooc","2","0","0","0"
"X198o5","1","0","0","0"
"eivs","1","0","0","0"
"francois","1","0","0","0"
"derwesthuizen","1","0","0","0"
"haitl","14","0","0","0"
"murader","1","0","0","0"
"mquiry","1","0","0","0"
"involvementin","1","0","0","0"
"iiiga","1","0","0","0"
"callfornia","2","0","0","0"
"calltornia","1","0","0","0"
"lounting","1","0","0","0"
"mvestigation","1","0","0","0"
"unvells","4","0","0","0"
"irnone","4","0","0","0"
"batteries","2","0","0","0"
"X125ooo","2","0","0","0"
"industrial","2","0","0","0"
"priusn","3","0","0","0"
"awaras","8","0","0","0"
"X1billion","2","0","0","0"
"pies","3","0","0","0"
"pie","1","0","0","0"
"consist","1","0","0","0"
"priush","2","0","0","0"
"butchers","1","0","0","0"
"piemakers","1","0","0","0"
"biciay","1","0","0","0"
"bem","1","0","0","0"
"nospital","4","0","0","0"
"hospitalisations","3","0","0","0"
"X2ooo.7ooo","1","0","0","0"
"intlation","5","0","0","0"
"inzlation","1","0","0","0"
"inrlation","1","0","0","0"
"sajid","4","0","0","0"
"javid","8","0","0","0"
"intiation","1","0","0","0"
"weeky","1","0","0","0"
"benefitwas","1","0","0","0"
"missiie","39","0","0","0"
"norths","3","0","0","0"
"destabilsing","2","0","0","0"
"impactof","2","0","0","0"
"dprks","2","0","0","0"
"inland","1","0","0","0"
"liriineir","2","0","0","0"
"oireris","2","0","0","0"
"alghans","4","0","0","0"
"raroe","22","0","0","0"
"aofpnin","11","0","0","0"
"faroe","4","0","0","0"
"aolpnin","9","0","0","0"
"conservation","14","0","0","0"
"herded","5","0","0","0"
"shallow","3","0","0","0"
"skalabotnur","3","0","0","0"
"aoipnin","1","0","0","0"
"m_rﬁ","1","0","0","0"
"eigh","1","0","0","0"
"nhs","143","0","0","0"
"iﬂﬂ","1","0","0","0"
"eetru","1","0","0","0"
"neatth","3","0","0","0"
"nealth","120","0","0","0"
"tawana","2","0","0","0"
"oxtoby","9","0","0","0"
"reshuttle","2","0","0","0"
"reshuffle","35","0","0","0"
"X59m","1","0","0","0"
"labouris","1","0","0","0"
"jae.in","1","0","0","0"
"aiving","1","0","0","0"
"t1s","1","0","0","0"
"X23mar","1","0","0","0"
"X9jul","1","0","0","0"
"X25oct","1","0","0","0"
"X1ofeb","1","0","0","0"
"X29may","1","0","0","0"
"X14s5ep","1","0","0","0"
"amateur","21","0","0","0"
"riignt","1","0","0","0"
"rignt","1","0","0","0"
"motners","11","0","0","0"
"nightmares","2","0","0","0"
"bed.wetting","2","0","0","0"
"separation","5","0","0","0"
"resumed","3","0","0","0"
"pymum","2","0","0","0"
"questionsin","1","0","0","0"
"romsey","1","0","0","0"
"southampton","2","0","0","0"
"gecloh","19","0","0","0"
"geclh","11","0","0","0"
"reshuirle","125","0","0","0"
"geclohi","1","0","0","0"
"resnuirle","16","0","0","0"
"X1ne","2","0","0","0"
"dback","3","0","0","0"
"understudy","1","0","0","0"
"caoinct","1","0","0","0"
"tesnullie","1","0","0","0"
"nospitdl","1","0","0","0"
"mammals","1","0","0","0"
"faroese","1","0","0","0"
"dolpnin","1","0","0","0"
"ciy","6","0","0","0"
"elh","11","0","0","0"
"reshutrle","24","0","0","0"
"unaerway","2","0","0","0"
"reshutile","1","0","0","0"
"steppedinto","1","0","0","0"
"seirfl","1","0","0","0"
"buckland","42","0","0","0"
"gdk","2","0","0","0"
"resnutrle","6","0","0","0"
"qe.news","2","0","0","0"
"jenrick","18","0","0","0"
"govuk","2","0","0","0"
"elegne","1","0","0","0"
"gdl","1","0","0","0"
"downing","20","0","0","0"
"priti","25","0","0","0"
"eloh","2","0","0","0"
"ldoinet","1","0","0","0"
"resnuitie","2","0","0","0"
"milling","15","0","0","0"
"ohamima","1","0","0","0"
"begum","1","0","0","0"
"shamima","1","0","0","0"
"begam","1","0","0","0"
"gove","35","0","0","0"
"elah","2","0","0","0"
"truss","16","0","0","0"
"reshufrie","4","0","0","0"
"reshuftie","18","0","0","0"
"nadhim","16","0","0","0"
"zahawi","18","0","0","0"
"exchequer","3","0","0","0"
"emirate","2","0","0","0"
"dorries","6","0","0","0"
"ppamag","1","0","0","0"
"dungeness","1","0","0","0"
"liamstormchaser","1","0","0","0"
"bmx","1","0","0","0"
"duchy","1","0","0","0"
"lancaster","2","0","0","0"
"utside","5","0","0","0"
"outsdesource","2","0","0","0"
"criticise","3","0","0","0"
"speakingin","1","0","0","0"
"peninsula","1","0","0","0"
"abinet","2","0","0","0"
"reshuitle","6","0","0","0"
"clarkes","1","0","0","0"
"qe1oh","2","0","0","0"
"X1oh","1","0","0","0"
"trevelyan","3","0","0","0"
"cabmetreshurile","1","0","0","0"
"une","4","0","0","0"
"hubris","1","0","0","0"
"oilfrom","1","0","0","0"
"urace","7","0","0","0"
"rbl","12","0","0","0"
"iallings","12","0","0","0"
"X4o.175","1","0","0","0"
"inassar","1","0","0","0"
"X1allings","2","0","0","0"
"apologized","1","0","0","0"
"basnir","1","0","0","0"
"kbl","1","0","0","0"
"cannabis","1","0","0","0"
"anti.doping","1","0","0","0"
"qa1","14","0","0","0"
"opacea","15","0","0","0"
"gele","1","0","0","0"
"edt","2","0","0","0"
"gle","1","0","0","0"
"ciiety","3","0","0","0"
"oll","2","0","0","0"
"o16","1","0","0","0"
"piol","1","0","0","0"
"X2h","1","0","0","0"
"hussein","2","0","0","0"
"securlty","19","0","0","0"
"o1y","3","0","0","0"
"X65bn","3","0","0","0"
"ulv","2","0","0","0"
"ly4","2","0","0","0"
"cape","4","0","0","0"
"canaveral","3","0","0","0"
"russein","1","0","0","0"
"aurkus","2","0","0","0"
"resnuitle","8","0","0","0"
"X1cc","4","0","0","0"
"eie","7","0","0","0"
"us.uk.australia","8","0","0","0"
"X9o.percent","3","0","0","0"
"X1458","3","0","0","0"
"tokyo.based","1","0","0","0"
"layv","3","0","0","0"
"haltl","9","0","0","0"
"scnoois","3","0","0","0"
"opain","2","0","0","0"
"pullfnght","1","0","0","0"
"madrid","2","0","0","0"
"bullring","2","0","0","0"
"madria","3","0","0","0"
"X1llegal","2","0","0","0"
"arinking","3","0","0","0"
"notre.dame","2","0","0","0"
"cathearal","2","0","0","0"
"premises","2","0","0","0"
"vicwcta","1","0","0","0"
"all.clvilian","11","0","0","0"
"spacea","11","0","0","0"
"X1lignt","11","0","0","0"
"surpassed","2","0","0","0"
"isaacmen","1","0","0","0"
"slackliner","1","0","0","0"
"bullfignt","1","0","0","0"
"giris","14","0","0","0"
"X1allban","2","0","0","0"
"excluaes","10","0","0","0"
"irrom","1","0","0","0"
"gircifyc","1","0","0","0"
"inspirationd","1","0","0","0"
"ravel","39","0","0","0"
"overnauled","97","0","0","0"
"simplified","12","0","0","0"
"ravelrestrictions","39","0","0","0"
"arrivalsin","3","0","0","0"
"travelrestrictions","3","0","0","0"
"wakefield","2","0","0","0"
"auruds","1","0","0","0"
"pacl","1","0","0","0"
"wwas","3","0","0","0"
"luck","3","0","0","0"
"husbana","1","0","0","0"
"deciaed","1","0","0","0"
"brewery","3","0","0","0"
"proauct","1","0","0","0"
"stagnate","2","0","0","0"
"benind","2","0","0","0"
"dia","3","0","0","0"
"taugnt","3","0","0","0"
"allmy","2","0","0","0"
"classmates","2","0","0","0"
"whotlea","2","0","0","0"
"splashed","1","0","0","0"
"aurud","1","0","0","0"
"vrl","5","0","0","0"
"compulsory","8","0","0","0"
"lyra","23","0","0","0"
"mckee","23","0","0","0"
"rioting","2","0","0","0"
"londonderry","4","0","0","0"
"jaxarta","3","0","0","0"
"jakarta","5","0","0","0"
"ruiing","1","0","0","0"
"indonesian","2","0","0","0"
"polluted","1","0","0","0"
"toreign","13","0","0","0"
"speculated","3","0","0","0"
"pcr","28","0","0","0"
"ukioreign","1","0","0","0"
"travelreview","1","0","0","0"
"computers","3","0","0","0"
"olr","4","0","0","0"
"sinclair","4","0","0","0"
"X81.year.old","7","0","0","0"
"affordable","6","0","0","0"
"X198o","6","0","0","0"
"biecnes","1","0","0","0"
"inventions","7","0","0","0"
"calculator","7","0","0","0"
"gamer","1","0","0","0"
"bircginegen","1","0","0","0"
"policeask","4","0","0","0"
"campoell","13","0","0","0"
"supermodel","4","0","0","0"
"campbellis","2","0","0","0"
"rrance","7","0","0","0"
"suspensions","2","0","0","0"
"biasie","1","0","0","0"
"dirgne","1","0","0","0"
"inegen","1","0","0","0"
"dirgnelgen","1","0","0","0"
"overnaul","21","0","0","0"
"uktoreign","5","0","0","0"
"simplify","11","0","0","0"
"X1oreign","16","0","0","0"
"riotingin","2","0","0","0"
"campboell","1","0","0","0"
"dirgine","3","0","0","0"
"dirgnegen","1","0","0","0"
"dircgine","1","0","0","0"
"dirginegen","1","0","0","0"
"dirgineget","1","0","0","0"
"birginege","1","0","0","0"
"wasningon","1","0","0","0"
"ischgl","5","0","0","0"
"tosimplify","1","0","0","0"
"flrms","4","0","0","0"
"talling","4","0","0","0"
"stapility","3","0","0","0"
"cashflow","1","0","0","0"
"staged","1","0","0","0"
"X1ire","2","0","0","0"
"founddoing","1","0","0","0"
"georgieva","1","0","0","0"
"pulaengaino","1","0","0","0"
"pulaengainio","1","0","0","0"
"discontinued","1","0","0","0"
"woikeis","1","0","0","0"
"coviq","2","0","0","0"
"jonn","3","0","0","0"
"patties","3","0","0","0"
"durum","3","0","0","0"
"wheat","3","0","0","0"
"heatwave","2","0","0","0"
"newham","1","0","0","0"
"macy","1","0","0","0"
"ladinet","1","0","0","0"
"covid.12","4","0","0","0"
"double.jabbed","11","0","0","0"
"austrian","3","0","0","0"
"organising","1","0","0","0"
"offenders","6","0","0","0"
"o21","10","0","0","0"
"photograpny","16","0","0","0"
"turtle","2","0","0","0"
"itis","7","0","0","0"
"ucean","8","0","0","0"
"roreign","34","0","0","0"
"cnanges","9","0","0","0"
"skiing","1","0","0","0"
"q4oo","1","0","0","0"
"flanning","10","0","0","0"
"rlanning","7","0","0","0"
"helen","2","0","0","0"
"whately","1","0","0","0"
"ortneyedr","1","0","0","0"
"deeee","1","0","0","0"
"dieis","1","0","0","0"
"cinema","6","0","0","0"
"tule","3","0","0","0"
"oreign","1","0","0","0"
"tointernational","2","0","0","0"
"englandioreign","1","0","0","0"
"pcrtests","2","0","0","0"
"ioreign","3","0","0","0"
"anychanges","1","0","0","0"
"vvales","4","0","0","0"
"vecond","2","0","0","0"
"inquest","6","0","0","0"
"judgement","4","0","0","0"
"sufficient","1","0","0","0"
"oecond","1","0","0","0"
"q4oog","1","0","0","0"
"drakeford","1","0","0","0"
"gnevd","3","0","0","0"
"evd","4","0","0","0"
"categories","4","0","0","0"
"recognised","2","0","0","0"
"pmsnew","2","0","0","0"
"cabinetmeeting","1","0","0","0"
"capinet","6","0","0","0"
"X1avistock","1","0","0","0"
"puberty.blocking","1","0","0","0"
"X1tavel","3","0","0","0"
"tules","1","0","0","0"
"cnange","1","0","0","0"
"sers","1","0","0","0"
"possessing","5","0","0","0"
"puberty","8","0","0","0"
"dysphoria","6","0","0","0"
"puperty","8","0","0","0"
"gn","1","0","0","0"
"tavistock","2","0","0","0"
"X1travelrules","1","0","0","0"
"X158","2","0","0","0"
"X32651","1","0","0","0"
"lsrg","2","0","0","0"
"iélléll","1","0","0","0"
"servedin","1","0","0","0"
"X27c","7","0","0","0"
"eiee","2","0","0","0"
"reen","2","0","0","0"
"rioe","1","0","0","0"
"shapps","8","0","0","0"
"simplifying","8","0","0","0"
"iravel","10","0","0","0"
"reey","2","0","0","0"
"rioye","1","0","0","0"
"X1ravel","28","0","0","0"
"lateral","13","0","0","0"
"bromyard","1","0","0","0"
"herefordshire","1","0","0","0"
"cloudgazer","1","0","0","0"
"overhauled","1","0","0","0"
"shatter","3","0","0","0"
"iﬂ","1","0","0","0"
"X.bbcnewssix","1","0","0","0"
"oeroit","1","0","0","0"
"llettes","1","0","0","0"
"sarina","1","0","0","0"
"wiegmans","1","0","0","0"
"friendlies","2","0","0","0"
"portsd","5","0","0","0"
"sportsdav","4","0","0","0"
"houghton","1","0","0","0"
"macedonia","3","0","0","0"
"maced","1","0","0","0"
"iravelrestrictions","7","0","0","0"
"testnot","1","0","0","0"
"priorto","1","0","0","0"
"yourquestions.bbecouk","7","0","0","0"
"aliegations","1","0","0","0"
"bethel","5","0","0","0"
"argyll","6","0","0","0"
"bute","6","0","0","0"
"birdman","4","0","0","0"
"arone","6","0","0","0"
"cr","1","0","0","0"
"npv","2","0","0","0"
"elen","1","0","0","0"
"crhpevelen","1","0","0","0"
"avehicle","1","0","0","0"
"reaper","1","0","0","0"
"oeglcr","1","0","0","0"
"eien","2","0","0","0"
"lcrhpeveleni","1","0","0","0"
"neale","1","0","0","0"
"sdaucanu","1","0","0","0"
"crhrel","1","0","0","0"
"is.k","3","0","0","0"
"crh","1","0","0","0"
"crnrel","1","0","0","0"
"smeme","1","0","0","0"
"oaac","1","0","0","0"
"enews","1","0","0","0"
"civis","2","0","0","0"
"dogged","1","0","0","0"
"gravel","6","0","0","0"
"overnauls","1","0","0","0"
"waltlng","1","0","0","0"
"ﬁiﬁreiarv","1","0","0","0"
"nto.e","1","0","0","0"
"myfeavslm","2","0","0","0"
"ihh","4","0","0","0"
"daisy","4","0","0","0"
"mcaanarew","1","0","0","0"
"licee","4","0","0","0"
"oepastian","3","0","0","0"
"rayne","2","0","0","0"
"whitehall","3","0","0","0"
"mcanarew","3","0","0","0"
"X.news","1","0","0","0"
"peeg","1","0","0","0"
"o1ehlc","1","0","0","0"
"astab","1","0","0","0"
"unn","6","0","0","0"
"unsays","3","0","0","0"
"uin","1","0","0","0"
"X27cwould","1","0","0","0"
"kussla","1","0","0","0"
"kussia","4","0","0","0"
"duma","1","0","0","0"
"rkussla","1","0","0","0"
"osce","1","0","0","0"
"observers","1","0","0","0"
"rallyin","2","0","0","0"
"rfayne","1","0","0","0"
"X199os","1","0","0","0"
"virologiét","1","0","0","0"
"laywer","6","0","0","0"
"successors","2","0","0","0"
"X1ootball","3","0","0","0"
"drazll","13","0","0","0"
"anti.boisonaro","1","0","0","0"
"aeal","24","0","0","0"
"atomic","6","0","0","0"
"ngos","13","0","0","0"
"imisshelests","3","0","0","0"
"rnk","3","0","0","0"
"tournaments","6","0","0","0"
"cits","10","0","0","0"
"iinal","11","0","0","0"
"mplymouth","1","0","0","0"
"ccite","1","0","0","0"
"balbir","4","0","0","0"
"singh","4","0","0","0"
"sodhis","4","0","0","0"
"upen","253","0","0","0"
"citay","48","0","0","0"
"ccith","8","0","0","0"
"citats","105","0","0","0"
"nnnans","1","0","0","0"
"depate","5","0","0","0"
"citeiy","11","0","0","0"
"tomato","3","0","0","0"
"annalena","1","0","0","0"
"baerbock","1","0","0","0"
"yst","1","0","0","0"
"pusan","1","0","0","0"
"X65obn","4","0","0","0"
"uil","2","0","0","0"
"X425ooo","3","0","0","0"
"nvestment","4","0","0","0"
"ignel","1","0","0","0"
"X89bn","2","0","0","0"
"tuc","13","0","0","0"
"one.off","1","0","0","0"
"luc","1","0","0","0"
"ryanair","4","0","0","0"
"bribe","1","0","0","0"
"mugabe","4","0","0","0"
"incentive","4","0","0","0"
"X45oo","8","0","0","0"
"union.worker","1","0","0","0"
"upeen","1","0","0","0"
"toyotasaid","1","0","0","0"
"weex","10","0","0","0"
"londonas","2","0","0","0"
"X5bn","2","0","0","0"
"zero.emission","2","0","0","0"
"vessels","2","0","0","0"
"X44.year","16","0","0","0"
"emmaraducanu","2","0","0","0"
"kaducanu","5","0","0","0"
"shoe","1","0","0","0"
"sponsorship","1","0","0","0"
"eluzlgn","1","0","0","0"
"medallist","12","0","0","0"
"preaking","14","0","0","0"
"coincided","3","0","0","0"
"rule.breaking","3","0","0","0"
"X18.time","2","0","0","0"
"lmma","24","0","0","0"
"X9m","19","0","0","0"
"raducanus","26","0","0","0"
"types","3","0","0","0"
"inorth","5","0","0","0"
"awaited","2","0","0","0"
"X15.year.olds","22","0","0","0"
"azaylias","1","0","0","0"
"duns","1","0","0","0"
"chicpes","1","0","0","0"
"dinorwic","1","0","0","0"
"lemwh","1","0","0","0"
"pmalso","2","0","0","0"
"citeth","1","0","0","0"
"trindle","2","0","0","0"
"mcdean","1","0","0","0"
"forbids","1","0","0","0"
"X14oooo","4","0","0","0"
"revolutionary","4","0","0","0"
"tallban","155","0","0","0"
"geneva","9","0","0","0"
"cycling","2","0","0","0"
"hignt","1","0","0","0"
"suqurig","1","0","0","0"
"ellor","1","0","0","0"
"X12.15.year.olds","19","0","0","0"
"cruisetnissiie","1","0","0","0"
"arrangement","3","0","0","0"
"rnli","3","0","0","0"
"ferrarl","5","0","0","0"
"aonation","3","0","0","0"
"X85m","2","0","0","0"
"rnllferrarraonation","1","0","0","0"
"pwllheli","1","0","0","0"
"knli","2","0","0","0"
"ferrari","1","0","0","0"
"rnliin","1","0","0","0"
"rrotestors","11","0","0","0"
"plock","7","0","0","0"
"frotestors","7","0","0","0"
"j3","3","0","0","0"
"swanley","3","0","0","0"
"godstone","2","0","0","0"
"j14","3","0","0","0"
"heathrow","3","0","0","0"
"t5","2","0","0","0"
"j2o","3","0","0","0"
"j31","2","0","0","0"
"purfleet","3","0","0","0"
"méao","3","0","0","0"
"banners","2","0","0","0"
"surrey","3","0","0","0"
"junction","1","0","0","0"
"cruisetanissiie","1","0","0","0"
"covida","13","0","0","0"
"X12.15.year.oolds","1","0","0","0"
"kngland","5","0","0","0"
"onnp","2","0","0","0"
"onp","2","0","0","0"
"oturgeon","43","0","0","0"
"vdccines","1","0","0","0"
"ioot","1","0","0","0"
"mphenom","2","0","0","0"
"bandit","1","0","0","0"
"innova","1","0","0","0"
"laskhill","1","0","0","0"
"tudela","2","0","0","0"
"mainly","3","0","0","0"
"eligidiid","2","0","0","0"
"lancer","4","0","0","0"
"o1ood","4","0","0","0"
"snp","9","0","0","0"
"conerence","1","0","0","0"
"uos","31","0","0","0"
"X1uc","12","0","0","0"
"cmos","16","0","0","0"
"primarily","6","0","0","0"
"X_s","1","0","0","0"
"lniet","1","0","0","0"
"otticers","1","0","0","0"
"orieting","1","0","0","0"
"cfs","3","0","0","0"
"scneme","3","0","0","0"
"jcvi","55","0","0","0"
"whitty","2","0","0","0"
"X14.15","2","0","0","0"
"coffey","4","0","0","0"
"claimants","3","0","0","0"
"therese","1","0","0","0"
"uuniversal","1","0","0","0"
"proken","1","0","0","0"
"cancerbefore","1","0","0","0"
"nell","2","0","0","0"
"secfeiary","1","0","0","0"
"inagucanus","1","0","0","0"
"requlator","1","0","0","0"
"mhra","1","0","0","0"
"citey","14","0","0","0"
"witharawal","7","0","0","0"
"englahd","1","0","0","0"
"X12.15year","2","0","0","0"
"olas","1","0","0","0"
"inell","4","0","0","0"
"hascalled","1","0","0","0"
"mitsubishi","1","0","0","0"
"anvers","1","0","0","0"
"thereis","3","0","0","0"
"shortfall","2","0","0","0"
"hgv.drivers","1","0","0","0"
"arivers","3","0","0","0"
"alack","2","0","0","0"
"sectors","2","0","0","0"
"arversishortage","1","0","0","0"
"jurisdiction","2","0","0","0"
"mammotn","3","0","0","0"
"heis","6","0","0","0"
"fivethirtyeight","3","0","0","0"
"signatures","2","0","0","0"
"calliornia","17","0","0","0"
"ror","6","0","0","0"
"raaucanu","4","0","0","0"
"X.yiannithemvp","1","0","0","0"
"iwednesday","1","0","0","0"
"eigot","2","0","0","0"
"bentham","5","0","0","0"
"citets","3","0","0","0"
"cita","4","0","0","0"
"ciets","5","0","0","0"
"qei","1","0","0","0"
"borisjohnsons","2","0","0","0"
"charlotte","4","0","0","0"
"wahl","2","0","0","0"
"andrewneilresigns","1","0","0","0"
"sourcejcvi","1","0","0","0"
"muraered","2","0","0","0"
"litecoin","6","0","0","0"
"beiore","2","0","0","0"
"zuma","11","0","0","0"
"X15.month","4","0","0","0"
"machrihanish","1","0","0","0"
"westerman","1","0","0","0"
"ddmission","3","0","0","0"
"biplomatic","2","0","0","0"
"inaigenous","5","0","0","0"
"piripkuras","2","0","0","0"
"trioes","7","0","0","0"
"iplomatic","1","0","0","0"
"X4uma","1","0","0","0"
"pele1n","1","0","0","0"
"readmitted","1","0","0","0"
"aibet1d","1","0","0","0"
"jet2","1","0","0","0"
"sheffield","5","0","0","0"
"hallam","3","0","0","0"
"potters","1","0","0","0"
"christow","1","0","0","0"
"fertiliser","10","0","0","0"
"peaty","5","0","0","0"
"emal","1","0","0","0"
"avrivals","1","0","0","0"
"veves","2","0","0","0"
"vns","1","0","0","0"
"eoies","1","0","0","0"
"ocado","1","0","0","0"
"X745pm","4","0","0","0"
"paired","6","0","0","0"
"nuneaton","2","0","0","0"
"ciety","4","0","0","0"
"tees","1","0","0","0"
"baringa","1","0","0","0"
"disrupted","2","0","0","0"
"congestions","2","0","0","0"
"qld","1","0","0","0"
"qlu","1","0","0","0"
"dger","1","0","0","0"
"qcado","8","0","0","0"
"scrappéd","1","0","0","0"
"X3o144","2","0","0","0"
"reoies","1","0","0","0"
"o1n","1","0","0","0"
"schh","1","0","0","0"
"aurusd","1","0","0","0"
"peeness","1","0","0","0"
"rco","1","0","0","0"
"yehuet","1","0","0","0"
"tiul","1","0","0","0"
"X15out","1","0","0","0"
"eaucation","8","0","0","0"
"eheg","2","0","0","0"
"schoolgirls","1","0","0","0"
"afew","1","0","0","0"
"ghebreyesus","2","0","0","0"
"burley","2","0","0","0"
"vrone","1","0","0","0"
"portreath","1","0","0","0"
"ecr","1","0","0","0"
"ifere","1","0","0","0"
"i1s","5","0","0","0"
"raltlall","1","0","0","0"
"nositting","2","0","0","0"
"ié","1","0","0","0"
"léll","1","0","0","0"
"ohe","1","0","0","0"
"statesmanlike","1","0","0","0"
"coula","1","0","0","0"
"warwickshire","1","0","0","0"
"oty","1","0","0","0"
"onomptad","1","0","0","0"
"poct","1","0","0","0"
"healtn","1","0","0","0"
"X11rst","20","0","0","0"
"samos","1","0","0","0"
"sustanabiity","1","0","0","0"
"moria","1","0","0","0"
"indssdidduse","1","0","0","0"
"inassdidduse","1","0","0","0"
"assstlawyers","1","0","0","0"
"sere","1","0","0","0"
"egal","1","0","0","0"
"g1y","2","0","0","0"
"jihad","7","0","0","0"
"eizam","5","0","0","0"
"bbcmmxxi","1","0","0","0"
"X.eeenewss","1","0","0","0"
"aukusinew","1","0","0","0"
"gelie","3","0","0","0"
"qn1","2","0","0","0"
"geliie","3","0","0","0"
"olchuan","2","0","0","0"
"chongqing","2","0","0","0"
"gelien","1","0","0","0"
"indssdi","2","0","0","0"
"dduse","2","0","0","0"
"yarm","1","0","0","0"
"spefs","1","0","0","0"
"X4o1o","1","0","0","0"
"parls","1","0","0","0"
"bidall","1","0","0","0"
"panmure","1","0","0","0"
"blackout","2","0","0","0"
"torecords","1","0","0","0"
"bbcyougov","1","0","0","0"
"nealtn","10","0","0","0"
"mentalnealtn","1","0","0","0"
"casino","6","0","0","0"
"crackaown","5","0","0","0"
"macau","3","0","0","0"
"licences","1","0","0","0"
"sands","1","0","0","0"
"slumped","1","0","0","0"
"spectator","1","0","0","0"
"rugby","2","0","0","0"
"detencefpartnersnip","1","0","0","0"
"preference","3","0","0","0"
"rejig","5","0","0","0"
"middle.ranking","5","0","0","0"
"reshuirie","5","0","0","0"
"irrt","1","0","0","0"
"resnurrie","1","0","0","0"
"cabinetresnuitle","4","0","0","0"
"reshuitie","7","0","0","0"
"riousing","1","0","0","0"
"ageing","21","0","0","0"
"nousing","15","0","0","0"
"decent","2","0","0","0"
"rousing","8","0","0","0"
"deadiine","12","0","0","0"
"iirst","11","0","0","0"
"aeadline","10","0","0","0"
"ammateur","2","0","0","0"
"amateurastronauts","1","0","0","0"
"trips","2","0","0","0"
"branson","1","0","0","0"
"keturn","4","0","0","0"
"oifice","1","0","0","0"
"orrice","3","0","0","0"
"surveyed","7","0","0","0"
"otrice","12","0","0","0"
"ofrice","2","0","0","0"
"X4in","6","0","0","0"
"crickhowell","1","0","0","0"
"powys","1","0","0","0"
"derence","2","0","0","0"
"partnersnip","4","0","0","0"
"andstability","1","0","0","0"
"num","1","0","0","0"
"ellis","2","0","0","0"
"mordaunt","2","0","0","0"
"paymaster","2","0","0","0"
"reshutiie","1","0","0","0"
"nnorth","2","0","0","0"
"bundestag","3","0","0","0"
"ahrweiler","3","0","0","0"
"money.laundering","2","0","0","0"
"roadtrip","2","0","0","0"
"X28nenvee","1","0","0","0"
"inseparable","6","0","0","0"
"high.skilled","4","0","0","0"
"safeguard","12","0","0","0"
"detence","3","0","0","0"
"X111o","1","0","0","0"
"lanarill","14","0","0","0"
"hydrogen","7","0","0","0"
"sulphide","7","0","0","0"
"walleys","4","0","0","0"
"quarry","4","0","0","0"
"landfill","4","0","0","0"
"overheating","1","0","0","0"
"creatively","1","0","0","0"
"owner.occupier","1","0","0","0"
"ciats","2","0","0","0"
"terminal","5","0","0","0"
"difficulty","4","0","0","0"
"anew","1","0","0","0"
"go111to","1","0","0","0"
"otdil","1","0","0","0"
"landiill","6","0","0","0"
"landilll","2","0","0","0"
"emitting","4","0","0","0"
"noxious","4","0","0","0"
"shortening","4","0","0","0"
"lanatill","4","0","0","0"
"exams","2","0","0","0"
"cabpinet","1","0","0","0"
"idh","1","0","0","0"
"ralse","1","0","0","0"
"aspects","2","0","0","0"
"cambridge","2","0","0","0"
"zoology","2","0","0","0"
"lanariil","3","0","0","0"
"o9o9o9o9o9o9o","1","0","0","0"
"envec","1","0","0","0"
"anglia","4","0","0","0"
"pe.news","3","0","0","0"
"covia.13","31","0","0","0"
"invite","2","0","0","0"
"udand","1","0","0","0"
"usand","3","0","0","0"
"acold","2","0","0","0"
"exemptionsinclude","1","0","0","0"
"amopulance","7","0","0","0"
"aelays","34","0","0","0"
"ampulance","17","0","0","0"
"X4o.hour","2","0","0","0"
