utc_time,network,seconds_on_screen,program,text
2021-09-09 04:37:00,CNNW,49,CNNW_20210909_040000_Anderson_Cooper_360/start/2220,BIDEN TO UNVEIL SIXPRONGED PLAN TO FIGHT COVID IN SPEECH TOMORROW
2021-09-09 00:32:00,CNNW,49,CNNW_20210909_000000_Anderson_Cooper_360/start/1920,BIDEN TO UNVEIL SIXPRONGED PLAN TO FIGHT COVID IN SPEECH TOMORROW
2021-09-09 04:35:00,CNNW,53,CNNW_20210909_040000_Anderson_Cooper_360/start/2100,BIDEN TO UNVEIL SIXPRONGED PLAN TO FIGHT COVID IN SPEECH TOMORROW
2021-10-02 04:53:00,CNNW,24,CNNW_20211002_040000_Anderson_Cooper_360/start/3180,BIDEN MEETS WITH DEMS VOWS WERE GOING TO GET
2021-10-02 04:52:00,CNNW,17,CNNW_20211002_040000_Anderson_Cooper_360/start/3120,BIDEN MEETS WITH DEMS VOWS WERE GOING TO GET THIS DONE
2021-10-02 01:18:00,CNNW,21,CNNW_20211002_010000_Anderson_Cooper_360/start/1080,REP RASKIN PROGRESSIVES WORKING ON WHAT TO TRIM IN
2021-10-02 04:10:00,CNNW,62,CNNW_20211002_040000_Anderson_Cooper_360/start/600,BIDEN VOWS WERE GOING TO GET THIS DONE AS DEM LAWMAKERS TRY TO OVERCOME DIVISIONS TO ENACT SWEEPING SOCIAL AND ECONOMIC AGENDA
2021-10-02 01:17:00,CNNW,34,CNNW_20211002_010000_Anderson_Cooper_360/start/1020,BIDEN VOWS WERE GOING TO GET THIS DONE AS DEM LAWMAKERS TRY TO OVERCOME DIVISIONS TO ENACT SWEEPING SOCIAL AND ECONOMIC AGENDA
2021-10-02 04:51:00,CNNW,24,CNNW_20211002_040000_Anderson_Cooper_360/start/3060,BIDEN TRIES TO TAKE DEADLINE PRESSURE OFF DEMS GRAPPLING OVER HIS AGENDA
2021-10-02 04:03:00,CNNW,17,CNNW_20211002_040000_Anderson_Cooper_360/start/180,PROGRESSIVE CAUCUS CHAIR PRAMILA JAYAPAL SUGGESTS THAT PROGRESSIVE DEMS
2021-10-02 04:55:00,CNNW,19,CNNW_20211002_040000_Anderson_Cooper_360/start/3300,SOURCES DEAL ON FRAMEWORK OF ECONOMIC PACKAGE NOT FINISHED OR
2021-10-02 01:03:00,CNNW,15,CNNW_20211002_010000_Anderson_Cooper_360/start/180,WH OFFICIAL BIDEN AIDES DISCUSS NEXT STEPS AFTER MEETING WITH
2021-10-02 05:01:00,CNNW,9,CNNW_20211002_050000_Anderson_Cooper_360/start/60,BIDEN MEETS WITH DEMS VOWS WERE GOING TO GET THIS
2021-10-02 00:51:00,CNNW,23,CNNW_20211002_000000_Anderson_Cooper_360/start/3060,SOURCES DEAL ON FRAMEWORK OF ECONOMIC PACKAGE NOT
2021-10-02 05:17:00,CNNW,32,CNNW_20211002_050000_Anderson_Cooper_360/start/1020,BIDEN VOWS WERE GOING TO GET THIS DONE AS DEM LAWMAKERS TRY TO OVERCOME DIVISIONS TO ENACT SWEEPING SOCIAL AND ECONOMIC AGENDA
2021-10-02 00:10:00,CNNW,55,CNNW_20211002_000000_Anderson_Cooper_360/start/600,BIDEN VOWS WERE GOING TO GET THIS DONE AS DEM LAWMAKERS TRY TO OVERCOME DIVISIONS TO ENACT SWEEPING SOCIAL AND ECONOMIC AGENDA
2021-10-02 04:06:00,CNNW,14,CNNW_20211002_040000_Anderson_Cooper_360/start/360,PROGRESSIVE CAUCUS CHAIR PRAMILA JAYAPAL SUGGESTS THAT
2021-09-08 04:01:00,CNNW,18,CNNW_20210908_040000_Anderson_Cooper_360/start/60,BIDEN CALLS STORM DAMAGE EYEOPENER TOUTS ECONOMIC AGENDA MANCHIN PUSHES
2021-10-21 00:53:00,CNNW,39,CNNW_20211021_000000_Anderson_Cooper_360/start/3180,WHAT IS STILL IN THE 19 TRILLION ECONOMIC AND CLIMATE PACKAGE
2021-10-09 01:00:00,CNNW,42,CNNW_20211009_000000_Anderson_Cooper_360/start/3600,BIDEN WONT ASSERT PRIVILEGE OVER TRUMP DOCS SOUGHT BY JAN 6 CMTE
2021-09-25 04:05:00,CNNW,50,CNNW_20210925_040000_Anderson_Cooper_360/start/300,BOGUS AZ AUDIT BACKFIRES ON TRUMP CONFIRMS BIDEN WON
2021-09-25 00:05:00,CNNW,44,CNNW_20210925_000000_Anderson_Cooper_360/start/300,BOGUS AZ AUDIT BACKFIRES ON TRUMP CONFIRMS BIDEN WON
2021-09-22 00:22:00,CNNW,44,CNNW_20210922_000000_Anderson_Cooper_360/start/1320,NY TIMES TRUMP CAMPAIGN WAS AWARE ATTORNEYS VOTING CONSPIRACY THEORIES WERE BASELESS COURT
2021-09-22 00:27:00,CNNW,55,CNNW_20210922_000000_Anderson_Cooper_360/start/1620,BOOK MEMO SHOWS TRUMP LAWYERS SIXSTEP PLAN FOR PENCE TO OVERTURN THE ELECTION
2021-09-25 01:18:00,CNNW,42,CNNW_20210925_010000_Anderson_Cooper_360/start/1080,BRIAN LAUNDRIE MANHUNT INTENSIFIES AFTER FEDERAL ARREST WARRANT
2021-10-06 00:22:00,CNNW,25,CNNW_20211006_000000_Anderson_Cooper_360/start/1320,GABBY PETITOS FAMILY GIVES FIRST INDEPTH INTERVIEW
2021-10-01 00:42:00,CNNW,40,CNNW_20211001_000000_Anderson_Cooper_360/start/2520,CA MANDATE REQUIRING ALL HEALTHCARE WORKERS TO GET COVID19 VACCINE WENT INTO EFFECT TODAY
2021-10-01 04:42:00,CNNW,41,CNNW_20211001_040000_Anderson_Cooper_360/start/2520,CA MANDATE REQUIRING ALL HEALTHCARE WORKERS TO GET COVID19 VACCINE WENT INTO EFFECT TODAY
2021-10-02 00:29:00,CNNW,17,CNNW_20211002_000000_Anderson_Cooper_360/start/1740,CA WILL REQUIRE COVID VACCINE FOR K12 STUDENTS TO ATTEND SCHOOL ONCE SHOTS GRANTED FULL FEDERAL APPROVAL
2021-10-02 05:29:00,CNNW,42,CNNW_20211002_050000_Anderson_Cooper_360/start/1740,CA WILL REQUIRE COVID VACCINE FOR K12 STUDENTS TO ATTEND SCHOOL ONCE SHOTS GRANTED FULL FEDERAL APPROVAL
2021-10-02 05:24:00,CNNW,8,CNNW_20211002_050000_Anderson_Cooper_360/start/1440,CALIFORNIA BECOMES FIRST STATE TO REQUIRE COVID VACCINE FOR STUDENTS
2021-09-10 00:49:00,CNNW,5,CNNW_20210910_000000_Anderson_Cooper_360/start/2940,CALIFORNIA RECALL ELECTION DAYS AWAY
2021-10-16 00:11:00,CNNW,25,CNNW_20211016_000000_Anderson_Cooper_360/start/660,CAPITOL OFFICER CHARGED WITH OBSTRUCTION IN CASE TIED TO JAN 6
2021-10-16 00:02:00,CNNW,31,CNNW_20211016_000000_Anderson_Cooper_360/start/120,BIDEN JUSTICE DEPARTMENT SHOULD PROSECUTE THOSE WHO DEFY
2021-10-16 04:12:00,CNNW,24,CNNW_20211016_040000_Anderson_Cooper_360/start/720,HOW STEVE BANNON HAS STOKED THE FLAMES
2021-09-09 00:20:00,CNNW,54,CNNW_20210909_000000_Anderson_Cooper_360/start/1200,CAPITOL POLICE RECOMMEND CAPITOL FENCE BE PUT BACK UP AHEAD OF 918 RALLY
2021-09-09 04:24:00,CNNW,45,CNNW_20210909_040000_Anderson_Cooper_360/start/1440,CAPITOL POLICE RECOMMEND CAPITOL FENCE BE PUT BACK UP AHEAD OF 918 RALLY
2021-09-09 00:21:00,CNNW,58,CNNW_20210909_000000_Anderson_Cooper_360/start/1260,CAPITOL POLICE RECOMMEND CAPITOL FENCE BE PUT BACK UP AHEAD OF 918 RALLY
2021-09-09 04:22:00,CNNW,51,CNNW_20210909_040000_Anderson_Cooper_360/start/1320,CAPITOL POLICE RECOMMEND CAPITOL FENCE BE PUT BACK UP AHEAD OF 918 RALLY
2021-09-09 04:15:00,CNNW,14,CNNW_20210909_040000_Anderson_Cooper_360/start/900,CAPITOL POLICE RECOMMENDS CAPITOL FENCE BE PUT BACK UP AHEAD OF 918 RALLY
2021-09-18 04:46:00,CNNW,53,CNNW_20210918_040000_Anderson_Cooper_360/start/2760,CAPITOL POLICE SAY THEY ARE PREPARED FOR JUSTICE FOR J6 RALLY
2021-09-18 00:45:00,CNNW,38,CNNW_20210918_000000_Anderson_Cooper_360/start/2700,CAPITOL POLICE SAY THEY ARE PREPARED FOR JUSTICE FOR J6 RALLY
2021-10-07 00:54:00,CNNW,37,CNNW_20211007_000000_Anderson_Cooper_360/start/3240,ACTOR WILLIAM CAPTAIN KIRK SHATNER ON HIS
2021-10-07 00:51:00,CNNW,37,CNNW_20211007_000000_Anderson_Cooper_360/start/3060,CAPTAIN KIRK AKA WILLIAM SHATNER ON PREPARING FOR TAKEOFF ABOARD BEZOS BLUE ORIGIN.
2021-10-07 00:44:00,CNNW,20,CNNW_20211007_000000_Anderson_Cooper_360/start/2640,CAPTAIN KIRK AKA WILLIAM SHATNER HEADING INTO SPACE
2021-10-07 00:46:00,CNNW,43,CNNW_20211007_000000_Anderson_Cooper_360/start/2760,SHATNER IM GOING TO BE A ROCKETMAN
2021-10-07 00:48:00,CNNW,34,CNNW_20211007_000000_Anderson_Cooper_360/start/2880,ACTOR WILLIAM CAPTAIN KIRK SHATNER ON HIS UPCOMING SPACEFLIGHT
